21,58,96,1604,7,Wheat
21,55,86,1957,7,Wheat
20,56,90,1666,7,Wheat
21,56,93,1482,7,Wheat
22,57,86,2133,7,Wheat
24,58,99,1492,6,Wheat
20,56,89,1659,7,Wheat
22,56,97,1667,6,Wheat
24,56,93,1945,7,Wheat
25,57,96,1205,7,Wheat
25,57,85,2101,7,Wheat
21,57,100,1652,7,Wheat
21,56,98,1121,7,Wheat
23,55,86,1171,6,Wheat
23,55,88,1471,7,Wheat
25,55,89,2077,7,Wheat
22,55,99,1279,7,Wheat
21,57,100,2083,6,Wheat
25,58,86,1673,7,Wheat
22,56,92,1892,7,Wheat
22,55,87,1803,6,Wheat
24,56,85,1686,7,Wheat
21,56,93,1410,7,Wheat
20,56,98,2110,7,Wheat
24,57,100,1821,7,Wheat
20,56,92,1276,6,Wheat
21,58,85,1259,7,Wheat
22,57,91,2032,6,Wheat
21,56,86,1232,6,Wheat
24,55,85,1549,6,Wheat
24,55,93,2014,7,Wheat
22,56,90,1904,7,Wheat
22,55,97,1435,6,Wheat
21,56,99,1661,6,Wheat
23,58,99,1355,6,Wheat
23,55,98,1794,7,Wheat
20,55,92,1353,6,Wheat
20,57,89,1353,7,Wheat
25,58,95,1701,6,Wheat
23,58,93,1683,7,Wheat
23,58,100,1585,6,Wheat
20,56,91,2151,6,Wheat
20,55,100,1662,7,Wheat
24,55,91,2108,7,Wheat
24,56,85,1976,6,Wheat
24,55,96,1912,7,Wheat
24,58,100,1819,6,Wheat
25,58,86,1100,6,Wheat
21,56,95,2151,7,Wheat
21,56,93,1128,7,Wheat
23,57,97,2058,6,Wheat
25,58,92,1310,6,Wheat
22,58,98,1704,7,Wheat
23,58,89,1776,6,Wheat
22,57,96,2020,7,Wheat
23,55,96,1827,7,Wheat
21,55,100,1446,6,Wheat
24,58,96,1675,6,Wheat
25,55,97,1664,6,Wheat
24,57,87,1951,7,Wheat
23,57,87,1896,7,Wheat
20,56,100,1482,6,Wheat
23,57,99,1940,6,Wheat
23,56,96,1853,7,Wheat
25,56,97,2010,6,Wheat
24,57,98,1140,7,Wheat
20,56,86,1587,6,Wheat
22,56,91,2028,6,Wheat
23,56,93,2016,7,Wheat
21,58,87,1749,7,Wheat
23,58,99,1523,7,Wheat
22,57,96,1941,7,Wheat
22,57,94,1333,7,Wheat
21,56,96,1527,6,Wheat
25,55,94,1268,6,Wheat
24,56,92,1246,7,Wheat
22,56,97,1186,7,Wheat
23,58,95,1309,6,Wheat
22,56,90,1793,7,Wheat
22,58,86,1640,6,Wheat
20,58,96,1192,7,Wheat
25,55,99,1435,6,Wheat
22,58,87,1555,7,Wheat
22,56,95,1889,7,Wheat
24,58,97,2131,6,Wheat
25,56,90,1866,7,Wheat
22,55,100,2079,7,Wheat
20,57,88,1370,7,Wheat
23,57,85,1516,7,Wheat
24,57,85,1712,6,Wheat
22,57,91,2010,7,Wheat
24,58,100,1108,6,Wheat
23,57,97,1639,7,Wheat
24,57,92,1469,7,Wheat
22,55,88,2162,6,Wheat
25,55,94,1451,7,Wheat
20,57,87,1700,6,Wheat
22,56,96,1211,7,Wheat
22,56,94,1833,6,Wheat
22,57,95,2137,7,Wheat
23,55,87,1898,6,Wheat
24,58,86,1481,7,Wheat
25,55,88,2077,7,Wheat
25,56,86,1984,6,Wheat
25,55,85,1394,7,Wheat
24,56,99,2108,7,Wheat
24,57,99,2171,7,Wheat
22,58,98,2136,7,Wheat
22,57,100,2156,6,Wheat
20,58,96,1155,6,Wheat
24,58,92,1854,7,Wheat
23,56,85,1696,7,Wheat
25,58,95,2152,6,Wheat
22,56,91,1582,6,Wheat
21,56,88,1688,6,Wheat
24,55,99,1815,6,Wheat
23,55,100,1754,6,Wheat
25,56,99,1858,6,Wheat
22,58,88,2156,6,Wheat
25,56,88,1717,7,Wheat
25,55,91,1802,7,Wheat
23,57,96,1465,6,Wheat
23,58,99,1597,7,Wheat
24,55,95,1941,6,Wheat
24,55,94,1189,7,Wheat
23,57,86,1127,7,Wheat
25,58,95,1871,7,Wheat
25,58,97,2035,7,Wheat
25,57,97,1719,6,Wheat
22,57,88,2063,6,Wheat
22,58,86,1693,6,Wheat
25,57,98,1499,6,Wheat
24,57,95,1607,7,Wheat
25,58,85,1965,7,Wheat
25,58,97,2137,6,Wheat
25,58,95,2036,6,Wheat
25,58,90,1441,6,Wheat
25,56,100,1344,6,Wheat
23,58,85,1842,7,Wheat
21,56,95,1576,7,Wheat
23,57,88,1529,7,Wheat
23,57,100,1685,6,Wheat
23,58,89,1331,6,Wheat
25,56,99,2048,7,Wheat
23,58,86,1581,7,Wheat
24,56,85,1557,6,Wheat
20,56,98,1673,7,Wheat
24,57,93,1684,6,Wheat
25,55,93,1939,7,Wheat
25,57,95,1531,7,Wheat
20,57,100,1542,7,Wheat
22,56,98,2165,7,Wheat
21,56,100,1631,7,Wheat
23,55,87,1733,7,Wheat
21,56,91,2132,7,Wheat
23,57,86,1529,7,Wheat
23,57,88,1787,6,Wheat
20,55,90,2004,7,Wheat
20,55,93,1317,6,Wheat
25,57,86,1647,7,Wheat
25,55,99,1757,6,Wheat
24,57,95,1104,7,Wheat
24,55,87,1675,7,Wheat
23,57,94,1853,7,Wheat
25,55,94,1505,7,Wheat
23,57,93,1312,7,Wheat
24,58,92,1194,6,Wheat
23,55,90,1369,7,Wheat
22,55,91,1931,7,Wheat
22,58,98,1371,6,Wheat
23,56,87,1211,7,Wheat
22,57,93,1309,7,Wheat
20,58,86,1641,6,Wheat
24,56,92,1602,7,Wheat
23,57,100,1787,6,Wheat
20,58,100,1400,6,Wheat
22,55,86,1422,7,Wheat
20,58,91,2112,6,Wheat
20,58,96,1972,6,Wheat
24,56,90,1245,7,Wheat
22,55,87,1916,7,Wheat
20,56,97,2032,6,Wheat
20,57,98,1511,7,Wheat
23,55,92,1960,7,Wheat
22,56,95,2173,6,Wheat
